user_id,gender_code,gender,age_code,age,occupation_code,occupation,zip,cluster
11,F,Female,25,25-34,1,Academic/Educator,04093,0
28,F,Female,25,25-34,1,Academic/Educator,14607,0
48,M,Male,25,25-34,4,College/Grad Student,92107,0
107,M,Male,45,45-49,18,Tradesman/Craftsman,63129,0
208,M,Male,35,35-44,17,Technician/Engineer,55432,0
240,M,Male,50,50-55,17,Technician/Engineer,55113,0
259,M,Male,25,25-34,1,Academic/Educator,60615,0
270,M,Male,50,50-55,14,Sales/Marketing,55414,0
323,M,Male,45,45-49,12,Programmer,53716,0
349,M,Male,1,Under 18,10,K-12 Student,08035,0
377,M,Male,25,25-34,17,Technician/Engineer,55418,0
454,M,Male,25,25-34,20,Writer,55092,0
498,M,Male,35,35-44,17,Technician/Engineer,55113,0
566,M,Male,25,25-34,17,Technician/Engineer,92122,0
690,M,Male,25,25-34,12,Programmer,90717,0
695,F,Female,18,18-24,1,Academic/Educator,04240,0
736,M,Male,18,18-24,12,Programmer,07070,0
737,M,Male,1,Under 18,19,Unemployed,53711,0
774,M,Male,18,18-24,4,College/Grad Student,22903,0
893,F,Female,50,50-55,6,Doctor/Health Care,85016,0
971,M,Male,25,25-34,12,Programmer,43615,0
1073,F,Female,25,25-34,6,Doctor/Health Care,72211,0
1079,M,Male,25,25-34,7,Executive/Managerial,98115,0
1084,M,Male,1,Under 18,19,Unemployed,03226,0
1099,M,Male,25,25-34,17,Technician/Engineer,77059,0
1131,M,Male,56,56+,13,Retired,12570,0
1133,M,Male,18,18-24,2,Artist,90038,0
1155,M,Male,25,25-34,12,Programmer,90278,0
1182,M,Male,1,Under 18,10,K-12 Student,91326,0
1231,M,Male,25,25-34,12,Programmer,60515,0
1252,M,Male,56,56+,13,Retired,94134,0
1265,F,Female,18,18-24,20,Writer,49321,0
1297,M,Male,25,25-34,7,Executive/Managerial,92109,0
1324,M,Male,35,35-44,16,Self-Employed,07030,0
1352,M,Male,35,35-44,20,Writer,94122,0
1396,F,Female,25,25-34,12,Programmer,94530,0
1413,M,Male,18,18-24,3,Clerical/Admin,98122,0
1430,M,Male,18,18-24,4,College/Grad Student,97215,0
1437,M,Male,50,50-55,3,Clerical/Admin,89102,0
1440,M,Male,35,35-44,12,Programmer,94520,0
1483,M,Male,18,18-24,4,College/Grad Student,54481,0
1492,M,Male,25,25-34,12,Programmer,98102,0
1498,M,Male,18,18-24,4,College/Grad Student,02139,0
