user_id,gender_code,gender,age_code,age,occupation_code,occupation,zip,cluster,genres
11,F,Female,25,25-34,1,Academic/Educator,04093,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
28,F,Female,25,25-34,1,Academic/Educator,14607,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
48,M,Male,25,25-34,4,College/Grad Student,92107,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
107,M,Male,45,45-49,18,Tradesman/Craftsman,63129,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
208,M,Male,35,35-44,17,Technician/Engineer,55432,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
240,M,Male,50,50-55,17,Technician/Engineer,55113,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
259,M,Male,25,25-34,1,Academic/Educator,60615,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
270,M,Male,50,50-55,14,Sales/Marketing,55414,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
323,M,Male,45,45-49,12,Programmer,53716,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
349,M,Male,1,Under 18,10,K-12 Student,08035,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
